Número de concesión|Tipo de documento|Número de solicitud|Fecha de presentación|Fecha de concesión|Clasificación CIP|Título|Resumen|Inventor(es)|Titular
Gaceta: Patentes, Registros de Modelos de Utilidad y de Diseños Industriales Volúmen: Mayo de 2012
298740|Patente|PA/a/2005/011886|04/11/2005|02/05/2012|<i>A61K38/00</i> <b>(2006-01)</b>|METODOS Y COMPOSICIONES PARA LA PREVENCION Y TRATAMIENTO DE SEPTICEMIA.|Un método para prevenir o tratar la septicemia administrando conjuntamente a un paciente una cantidad para prevenir o tratar la septicemia de uno o más inhibidores del complemento y una cantidad para prevenir o tratar la septicemia de uno o más inhibidores de la vía CD14. Los inhibidores del complemento son de preferencia anticuerpos que se unen a proteínas del complemento como C5a y las inhiben y los inhibidores de la vía CD14 son de preferencia anticuerpos que se unen a componentes de la vía CD14 como CD14 y LPS y los inhiben.|FUNG, SEK CHUNG; MOLLNES, TOM, EIRIK; Deal Street 3511, 77025, Houston, Texas, E.U.A.|TANOX, INC.*; MEDINNOVA AS; Stella Link Road 10301, 77025-5497, Houston, Texas, E.U.A.|
298741|Patente|MX/a/2009/010921|09/10/2009|30/04/2012|<i>G01R33/565</i> <b>(2006-01)</b>; <i>H04N7/50</i> <b>(2006-01)</b>; <i>G01R33/28</i> (2006-01)|CODIFICACION POR TRANSFORMACION MEJORADA ESPACIALMENTE.|Un sistema y método para mejorar el desempeño de la codificación del error de predicción de varios algoritmos de compresión de video. Diversas modalidades combinan las funciones de compactación de energía de la codificación por transformación con las propiedades de ubicación de la codificación espacial. En diversas modalidades, los efectos de los "extremos" de pixeles se eliminan de la transformación y se codifican por separado como una predicción de pixeles codificados espacialmente, mejorando de ese modo la ganancia de codificación de la transformación.|LAINEMA, JANI; Kisakentankatu 12 B 6, FIN-33230, Tampere, FINLANDIA|NOKIA CORPORATION; Keilalahdentie 4, FIN-02150, Espoo, FINLANDIA|
298742|Patente|MX/a/2009/005626|28/05/2009|02/05/2012|<i>H01Q1/32</i> <b>(2006-01)</b>; <i>B32B17/10</i> <b>(2006-01)</b>|VIDRIO LAMINADO QUE COMPRENDE UN DISPOSITIVO DE FIJACION INTRODUCIDO EN UN ORIFICIO PASANTE PARA OBJETOS.|La presente invención se refiere a hoja de vidrio laminado con un dispositivo de fijación insertado en un orificio pasante para objetos: la hoja de vidrio laminado siendo hecha de una hoja y al menos otra hoja rígida hecha de vidrio o de plástico y de una capa de adhesivo que conecta la dos hojas rígidas al unir sus superficies juntas; el orificio pasante consistiendo de dos agujeros de diferentes tamaños en las dos hojas rígidas, y; el dispositivo de fijación. comprendiendo al menos dos partes introducidas en el orifico pasante, presionándose contra las superficies alrededor del borde del orificio pasante, cuyas superficies se sitúan una de frente a la otra, caracterizado porque las dos partes del dispositivo de fijación se presionan de ambos lados contra las superficies alrededor del borde que rodea al agujero más pequeño hecho en la hoja, y por la región de las paredes de este agujero más pequeño que muestra una tensión por compresión de borde que se incrementa por termotratamiento por comparación con el resto de la superficie de la hoja.|MICHAEL LABROT; LOTHAR SCHMIDT; STEFAN ZIEGLER; MARTIN MELCHER; Scherbstrasse 78 a, 52072, Aachen, ALEMANIA|SAINT-GOBAIN GLASS FRANCE.*; 18 avenue d´Alsace, F-92400, Courbevoie, FRANCIA|
298743|Patente|MX/a/2008/014950|24/11/2008|02/05/2012|<i>H01M8/06</i> <b>(2006-01)</b>|ENSAMBLES DE PROCESAMIENTO DE HIDROGENO Y SISTEMAS PRODUCTORES DE HIDROGENO Y SISTEMAS DE CELDA DE COMBUSTIBLE QUE INCLUYEN LOS MISMOS.|Ensambles procesadores de hidrógeno, componentes de ensambles procesadores de hidrógeno y sistemas de celda de combustible y procesadores de combustible que incluyen ensambles procesadores de hidrógeno. Los ensambles procesadores de hidrógeno incluyen un ensamble de separación de hidrógeno colocado dentro del volumen interno de un receptáculo en una relación separada respecto a por lo menos una porción del perímetro interno del cuerpo del receptáculo.|WILLIAM A. PLEDGER; VERNON WADE POPHAM; R. TODD STUDEBAKER; KYLE TAYLOR; 66925 Ten Peaks Court, 97701, Bend, Oregon, E.U.A.|IDATECH, LLC; 63065 NE 18th Street, 97701, Bend, Oregon, E.U.A.|
298744|Patente|MX/a/2009/012012|06/11/2009|02/05/2012|<i>H01M8/04</i> <b>(2006-01)</b>|SISTEMAS DE CELULA ENERGETICA CON HIDRATACION Y MANTENIMIENTO POR DESPLAZAMIENTO DE ENERGIA PRIMARIA.|Sistema de célula energética que efectúa hidratación y mantenimiento suministrando energía para satisfacer al menos parte de una carga aplicada desde un montaje que consume energía, mientras una fuente de energía primaria está en comunicación eléctrica con y disponible para suministrar energía al montaje que consume energía para satisfacer la porción de la carga aplicada que es satisfecha por el sistema de célula energética. En algunas modalidades, un sistema de célula energética puede determinar un tiempo de arranque o condición de arranque, para el mantenimiento del sistema de célula energética. El sistema de célula energética puede entonces ser activado desde una condición inactiva de acuerdo al tiempo de arranque, o condición de arranque, iniciación de la distribución de al menos combustible, y opcionalmente oxidante, a una pila de célula energética del sistema. La energía puede entonces ser suministrada desde el sistema de célula energética activada a un voltaje de salida que es mayor que un voltaje al cual la energía de la fuente de energía primaria está siendo suministrada.|ARNE LAVEN; MASON P. KELLEY; TOD L. SNIDER; 3281 Northwest Bungalow, Drive, 97701, Bend, Oregon, E.U.A.|IDATECH, LLC; 63065 NE 18th Street, 97701, Bend, Oregon, E.U.A.|
298745|Patente|MX/a/2010/008621|05/08/2010|02/05/2012|<i>C07D403/12</i> <b>(2006-01)</b>; <i>A61K31/517</i> <b>(2006-01)</b>; <i>A61P11/00</i> <b>(2006-01)</b>|HETEROCICLOS ESPIROCICLICOS, MEDICAMENTOS QUE CONTIENEN A ESTOS COMPUESTOS, SU USO Y PROCEDIMIENTO PARA SU PREPARACION.|La presente invención se refiere a heterociclos espirocíclicos de la fórmula general (I) (Ver fórmula I) a sus tautómeros, a sus estereoisómeros, a sus mezclas y a sus sales, en especial sus sales fisiológicamente tolerables con ácidos inorgánicos u orgánicos, que presentan valiosas propiedades farmacológicas, en especial una acción inhibidora sobre la transducción de señales mediada por tirosina quinasas, a su uso para el tratamiento de enfermedades, en especial enfermedades tumorales, así como hiperplasia benigna de próstata (BPH), enfermedades del pulmón y de las vías respiratorias y a su producción.|FRANK HIMMELSBACH; BIRGIT JUNG; RALF LOTZ; Boehringer Ingelheim GmbH, CD Patents, Binger Strasse 173, 55216, Ingelheim Am Rhein, REINO UNIDO|BOEHRINGER INGELHEIM INTERNATIONAL GMBH.*; Binger Strasse 173, 55216, Ingelheim Am Rhein, ALEMANIA|
298746|Patente|MX/a/2007/003216|16/03/2007|02/05/2012|<i>A23L2/38</i> <b>(2006-01)</b>; <i>A61K31/352</i> <b>(2006-01)</b>; <i>A61K31/353</i> <b>(2006-01)</b>; <i>A61P35/00</i> <b>(2006-01)</b>; <i>C07D311/00</i> <b>(2006-01)</b>; <i>C07D311/04</i> <b>(2006-01)</b>; <i>C07D311/34</i> <b>(2006-01)</b>; <i>C07D311/36</i> <b>(2006-01)</b>; <i>C07D311/58</i> <b>(2006-01)</b>; <i>C07D311/64</i> <b>(2006-01)</b>|DERIVADOS Y MEDICAMENTOS SUSTITUIDOS DEL CROMANO Y SU USO EN TERAPIAS.|Se describen los derivados sustituidos del cromo y compuestos intermedios novedosos, las composiciones que contienen los mismos, los métodos para su preparación y uso de los mismos como agentes terapéuticos, particularmente como agentes selectivos anti-cancerosos y quimioterapéuticos.|ANDREW HEATON.; ALAN HUSBAND.; 2/46-48 Abbotsford Parade, Col. Abbotsford, 2046, Sydney, New South Wales, AUSTRALIA|MARSHALL EDWARDS, INC.; 11975 El Camino Real, Suite 101, San Diego, 92130, California, E.U.A.|
298747|Patente|MX/a/2010/003629|31/03/2010|02/05/2012|<i>H04W72/04</i> <b>(2009-01)</b>; <i>H04B1/713</i> <b>(2011-01)</b>; <i>H04W4/00</i> <b>(2009-01)</b>|METODO DE GENERACION DE SECUENCIA DE SEÑAL, DISPOSITIVO DE GENERACION DE INFORMACION DE CONTROL Y DISPOSITIVO DE USUARIO.|Se proporciona un método de generación de secuencia de señal para la generación de una secuencia de señal utilizada por una terminal de equipos de usuario en un sistema de comunicación móvil que incluye las etapas de generación, por una estación de base, de un patrón de salto predeterminado; generación, por la estación de base, de una secuencia de salto al aplicar un desplazamiento al patrón de salto predeterminado; transmitir, por la estación de base, la secuencia de salto a la terminal de equipo de usuario; y generar, por la terminal de equipo de usuario, la secuencia de señal de acuerdo con la secuencia de salto.|MAMORU SAWAHASHI; KENICHI HIGUCHI; YOSHIHISA KISHIYAMA; NTT DoCoMo, Inc., Sanno Park Tower, 11-1, Nagatacho 2-chome, 100-6150, Chiyoda-ku, Tokyo, JAPON|NTT DOCOMO, INC.; 11-1, Nagatacho 2-chome, 100-6150, Chiyoda-ku, Tokyo, JAPON|
298748|Patente|MX/a/2007/014825|26/11/2007|02/05/2012|<i>C08G18/08</i> <b>(2006-01)</b>; <i>C08G18/16</i> <b>(2006-01)</b>; <i>C08G18/28</i> <b>(2006-01)</b>|PROCESO PARA LA PREPARACION DE POLIURETANOS TERMOPLASTICOS AUTOEXTINGUIBLES.|La presente invención se refiere a un proceso para la preparación de poliuretanos termoplásticos autoextinguibles los cuales contienen opcionalmente aditivos y/o sustancias auxiliares convencionales.|HENRICUS PEERLINGS.; WOLFGANG BRÄUER; MARKUS BROICH; Löhdorfer Strasse 66, 42699, Solingen, , ALEMANIA|BAYER MATERIALSCIENCE AG; , 51368, Leverkusen, ALEMANIA|
298749|Patente|MX/a/2007/004281|11/04/2007|02/05/2012|<i>A01N37/46</i> <b>(2006-01)</b>; <i>A01N43/40</i> <b>(2006-01)</b>; <i>A01N43/653</i> <b>(2006-01)</b>; <i>A01N43/88</i> <b>(2006-01)</b>; <i>A01N55/10</i> <b>(2006-01)</b>; <i>A01N61/00</i> <b>(2006-01)</b>|COMBINACIONES DE PRODUCTOS ACTIVOS, FUNGUICIDAS.|La invención se refiere a combinaciones de productos activos, que están constituidas, por un lado, por el Fluoxastrobin conocido y, por otro lado, por otros productos activos fungicidas, conocidos, y que son adecuadas, de una manera muy buena, para la lucha contra los hongos fitopatógenos indeseables.|STEFAN DUTZMANN; ULRICH HEINEMANN; FRIEDRICH KERZ-MÖHLENDICK; ANNE SUTY-HEINZE; Weissenstein, 40764, Langenfeld, ALEMANIA|BAYER CROPSCIENCE AG; Alfred-Nobel-Str. 50, 40789, Monheim., , ALEMANIA|
298750|Patente|MX/a/2009/011271|19/10/2009|02/05/2012|<i>F16L13/00</i> <b>(2006-01)</b>; <i>F16L25/00</i> <b>(2006-01)</b>; <i>F16L47/24</i> <b>(2006-01)</b>|CONECTOR.|La presente invención se refiere a un sistema de conexión que comprende una tubería y un conector para conexión a la tubería, en donde el conector tiene una cavidad para recibir un extremo de la tubería, la cavidad tiene un ancho que varía entre un mínimo que es igual o menor que el ancho exterior de la tubería para sostener la tubería dentro de la cavidad y un máximo que es mayor que el ancho exterior de la tubería, para que la tubería pueda expandirse dentro de la cavidad, caracterizado porque la tubería comprende un material que se expande en hidratación.|MARK CHRISTOPHER TONKIN; REBECCA WATSON; The Barn, Ripe Lane, Ripe Village, BN8 6AP, Lewes, East Sussex, REINO UNIDO|DESIGN TECHNOLOGY AND INNOVATION LIMITED; 3rd Floor, Suffolk House, CR0 0YN, George Street, Croydon, REINO UNIDO|
